liczba nodow,nody ogolem,czas tworzenia grafu,czas szukania sciezki
2,4,0:00:00.002744,0:00:00.000225
4,16,0:00:00.008342,0:00:00.002919
5,25,0:00:00.013156,0:00:00.002564
8,64,0:00:00.037475,0:00:00.005132
10,100,0:00:00.077165,0:00:00.015684
20,400,0:00:00.904280,0:00:00.029262
25,625,0:00:02.104316,0:00:00.054962
40,1600,0:00:14.249184,0:00:00.182210
50,2500,0:00:37.931347,0:00:00.231736
100,10000,0:09:12.397379,0:00:01.158099
125,15625,0:22:16.199192,0:00:02.122870
liczba nodow,nody ogolem,czas tworzenia grafu,czas szukania sciezki
2,4,0:00:00.005255,0:00:00.000336
4,16,0:00:00.015703,0:00:00.002539
5,25,0:00:00.020886,0:00:00.004198
8,64,0:00:00.036678,0:00:00.004504
10,100,0:00:00.043615,0:00:00.014618
20,400,0:00:00.295079,0:00:00.027686
25,625,0:00:00.587520,0:00:00.047043
40,1600,0:00:03.382138,0:00:00.141496
50,2500,0:00:08.090169,0:00:00.216104
100,10000,0:02:20.386512,0:00:01.191117
125,15625,0:05:49.360236,0:00:02.098118
liczba nodow,nody ogolem,czas tworzenia grafu,czas szukania sciezki
2,4,0:00:00.002882,0:00:00.000209
4,16,0:00:00.008260,0:00:00.002752
5,25,0:00:00.012738,0:00:00.002525
8,64,0:00:00.024563,0:00:00.004693
10,100,0:00:00.035812,0:00:00.015083
20,400,0:00:00.188703,0:00:00.031340
25,625,0:00:00.359265,0:00:00.053535
40,1600,0:00:01.837454,0:00:00.147632
50,2500,0:00:04.268652,0:00:00.213108
100,10000,0:01:08.017297,0:00:01.327522
125,15625,0:03:00.630132,0:00:02.054469
liczba nodow,nody ogolem,czas tworzenia grafu,czas szukania sciezki
2,4,0:00:00.002701,0:00:00.000223
4,16,0:00:00.007438,0:00:00.001567
5,25,0:00:00.009679,0:00:00.002332
8,64,0:00:00.020746,0:00:00.004754
10,100,0:00:00.022786,0:00:00.015095
20,400,0:00:00.048080,0:00:00.028428
25,625,0:00:00.064628,0:00:00.064941
40,1600,0:00:00.106686,0:00:00.163334
50,2500,0:00:00.135622,0:00:00.242122
100,10000,0:00:00.354325,0:00:01.121811
125,15625,0:00:00.496824,0:00:02.120212
200,40000,0:00:01.103188,0:00:08.935362
